名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,都道府県コード,電話番号,携帯,キャリア,カレーの食べ方
福原 ジョージ,ふくはら じょーじ,fukuhara_george@example.com,男,61,1958/9/11,既婚,B型,東京都,13,085-143-6475,080-1243-8187,ドコモ,左ルー・混ぜ混ぜ派
入江 薫,いりえ かおる,irie_kaoru@example.com,男,10,2009/9/14,未婚,O型,千葉県,12,039-816-7676,080-8348-1648,ソフトバンク,手前ルー・別口派
佐藤 たかお,さとう たかお,satou_takao@example.com,男,26,1993/9/23,既婚,O型,愛知県,23,032-365-2587,090-5542-8886,ドコモ,左ルー・せき止め派
井川 薫,いがわ かおる,igawa_kaoru@example.com,女,44,1975/4/9,既婚,O型,新潟県,15,051-159-3105,080-2121-1936,ドコモ,奥ルー・せき止め派
秋葉 信輔,あきば しんすけ,akiba_shinsuke@example.com,男,53,1966/9/19,既婚,O型,東京都,13,024-201-9038,090-9859-8656,ドコモ,左ルー・ルー攻め派
玉井 愛子,たまい あいこ,tamai_aiko@example.com,女,53,1967/1/27,既婚,B型,大分県,44,049-968-7879,080-9037-5677,ソフトバンク,手前ルー・ルー攻め派
牧野 明慶,まきの あきよし,makino_akiyoshi@example.com,男,68,1951/5/25,既婚,B型,東京都,13,038-953-2901,090-6828-8565,ドコモ,別盛り・混ぜ混ぜ派
山田 恵子,やまだ けいこ,yamada_keiko@example.com,女,24,1996/1/5,未婚,O型,大阪府,27,038- 11-7596,090-7517-7443,ソフトバンク,ぶっかけ・ルー攻め派
岡島 桃子,おかじま ももこ,okajima_momoko@example.com,女,10,2009/8/24,未婚,O型,岐阜県,21,062-547-1679,090-6109-1384,au,手前ルー・ルー攻め派
根本 栄一,ねもと えいいち,nemoto_eiichi@example.com,男,20,1999/11/17,既婚,AB型,北海道,01,053-797- 872,080-1289-4683,ソフトバンク,ぶっかけ・別口派
芳賀 法子,はが のりこ,haga_noriko@example.com,女,18,2001/4/26,未婚,B型,福岡県,40,025- 23-5059,080-3828-5489,au,右ルー・せき止め派
相武 那奈,あいぶ なな,aibu_nana@example.com,女,51,1968/8/6,既婚,A型,高知県,39,056-739-1731,080-9252-4366,ドコモ,ぶっかけ・ルー攻め派
岡本 沙知絵,おかもと さちえ,okamoto_sachie@example.com,女,26,1993/12/18,既婚,O型,長野県,20,080-616-4172,090-6253- 452,ドコモ,左ルー・混ぜ混ぜ派
窪田 夏希,くぼた なつき,kubota_natsuki@example.com,女,80,1939/4/10,既婚,A型,兵庫県,28,019-432-9906,080-7805-4587,ドコモ,ぶっかけ・混ぜ混ぜ派
笠井 功補,かさい こうすけ,kasai_kousuke@example.com,男,27,1992/6/27,未婚,A型,岡山県,33,086-321-4720,090- 363-4036,ドコモ,ぶっかけ・ルー攻め派
柳 宏行,やなぎ ひろゆき,yanagi_hiroyuki@example.com,男,51,1968/8/25,既婚,AB型,長野県,20,037-597-3773,090-1288-6812,ソフトバンク,左ルー・ルー攻め派
小山 信輔,おやま しんすけ,oyama_shinsuke@example.com,男,31,1988/9/15,既婚,A型,神奈川県,14,069-759-7736,080-8938-  85,ドコモ,ぶっかけ・せき止め派
吉岡 雄太,よしおか ゆうた,yoshioka_yuuta@example.com,男,23,1997/1/27,既婚,B型,千葉県,12,034-557-9883,090-8683-7426,ドコモ,別盛り・ルー攻め派
浦田 洋介,うらた ようすけ,urata_yousuke@example.com,男,45,1974/4/30,既婚,O型,岩手県,03,035- 32-4971,080- 324-8758,au,左ルー・ルー攻め派
田上 高史,たうえ たかし,taue_takashi@example.com,男,54,1965/12/20,既婚,A型,東京都,13,078-465-7206,090-8907-7326,au,ぶっかけ・ルー攻め派
本田 メイサ,ほんだ めいさ,honnda_meisa@example.com,女,23,1996/11/11,未婚,A型,埼玉県,11,035-537-9450,090- 159-5066,ドコモ,右ルー・せき止め派
小川 三郎,おがわ さぶろう,ogawa_saburou@example.com,男,85,1934/11/20,既婚,O型,埼玉県,11,076-492-4814,080-9417- 596,ドコモ,右ルー・別口派
松永 優,まつなが ゆう,matsunaga_yuu@example.com,男,45,1974/3/22,既婚,A型,静岡県,22,0  -444-9907,090-6809-3216,au,ぶっかけ・混ぜ混ぜ派
前田 了,まえだ りょう,maeda_ryou@example.com,男,54,1965/11/12,既婚,O型,福岡県,40,072- 73-7901,090-3006-8463,au,ぶっかけ・せき止め派
古山 南朋,ふるやま なお,furuyama_nao@example.com,女,44,1975/12/26,未婚,A型,山梨県,19,031-819-3495,080-3128-7182,au,奥ルー・別口派
横山 まみ,よこやま まみ,yokoyama_mami@example.com,女,79,1940/5/24,既婚,B型,千葉県,12,042-872-8645,080-7370-1625,ドコモ,ぶっかけ・ナン派
黒沢 浩太郎,くろさわ こうたろう,kurosawa_koutarou@example.com,男,29,1990/7/13,未婚,O型,茨城県,08,044-192-9805,080-3250-6196,ドコモ,左ルー・別口派
松木 輝信,まつき あきのぶ,matsuki_akinobu@example.com,男,60,1959/6/29,既婚,B型,福島県,07,013-487-9488,090-5432- 303,ドコモ,右ルー・ルー攻め派
風間 那奈,かざま なな,kazama_nana@example.com,女,54,1965/11/30,既婚,O型,青森県,02,0 9-142-4198,080-1283-8072,au,右ルー・せき止め派
綾小路 茂樹,あやのこうじ しげき,ayanokouji_shigeki@example.com,男,82,1937/9/29,既婚,AB型,東京都,13,098-125-3223,080-3469- 762,ソフトバンク,左ルー・ルー攻め派
神崎 竜也,かんざき たつや,kanzaki_tatsuya@example.com,男,81,1938/5/17,既婚,B型,神奈川県,14,073-485-8660,090-4716-9569,ドコモ,左ルー・別口派
神戸 信吾,こうべ しんご,koube_shingo@example.com,男,11,2008/4/17,未婚,O型,埼玉県,11,070-390-6079,090-9000-7344,ソフトバンク,奥ルー・別口派
野沢 蒼甫,のざわ そうすけ,nozawa_sousuke@example.com,男,11,2008/3/2,未婚,B型,岡山県,33,074-940-7345,090-7373-3262,ドコモ,奥ルー・別口派
阿井 勇,あい ゆう,ai_yuu@example.com,女,73,1947/2/5,既婚,O型,茨城県,08,024-269-8514,080-3707-3230,ソフトバンク,ぶっかけ・混ぜ混ぜ派
角谷 あさみ,かどたに あさみ,kadotani_asami@example.com,女,50,1969/12/18,既婚,B型,北海道,01,026-129-9642,090-4032-9838,ドコモ,ぶっかけ・ルー攻め派
磯村 俊二,いそむら しゅんじ,isomura_shunji@example.com,男,30,1989/10/30,既婚,A型,北海道,01,093-646-9013,080-2788-5857,ドコモ,手前ルー・別口派
井沢 真悠子,いざわ まゆこ,izawa_mayuko@example.com,女,46,1973/5/16,既婚,B型,滋賀県,25,017-693-  21,080-1108- 294,au,右ルー・ルー攻め派
脇田 えみ,わきた えみ,wakita_emi@example.com,女,16,2003/2/24,未婚,A型,東京都,13,034-951-7025,080-5622-7329,ドコモ,左ルー・せき止め派
福士 七世,ふくし ななせ,fukushi_nanase@example.com,女,19,2000/4/20,未婚,A型,埼玉県,11,061-971-4628,080-3051- 336,ドコモ,ぶっかけ・別口派
黒川 愛子,くろかわ あいこ,kurokawa_aiko@example.com,女,69,1950/7/13,既婚,O型,福岡県,40,055-614- 309,080-7954-6072,ドコモ,手前ルー・ルー攻め派
黒谷 みき,くろたに みき,kurotani_miki@example.com,女,13,2006/6/6,未婚,B型,北海道,01,044-896-8830,080-7844-9156,ドコモ,ぶっかけ・ルー攻め派
松原 華子,まつばら はなこ,matsubara_hanako@example.com,女,55,1964/6/4,既婚,O型,神奈川県,14,040-889-7785,090-7426-7395,ドコモ,別盛り・せき止め派
大塚 俊二,おおつか しゅんじ,ootsuka_shunji@example.com,男,84,1935/6/20,既婚,O型,静岡県,22,038-597-2320,090-1407-1357,ドコモ,奥ルー・せき止め派
満島 菊生,みつしま きくお,mitsushima_kikuo@example.com,男,78,1941/12/16,既婚,O型,神奈川県,14,0 9-682- 454,080- 683- 720,au,ぶっかけ・ルー攻め派
石原 亮,いしはら りょう,ishihara_ryou@example.com,男,67,1952/5/19,既婚,O型,京都府,26,018-787-5181,090-7735-4325,ドコモ,左ルー・ルー攻め派
宮川 ノブヒコ,みやかわ のぶひこ,miyakawa_nobuhiko@example.com,男,62,1957/10/26,既婚,B型,福岡県,40,029-494-5476,090-6158-7990,au,ぶっかけ・混ぜ混ぜ派
伊集院 勇,いじゅういん ゆう,ijuuin_yuu@example.com,女,28,1991/10/27,既婚,A型,岩手県,03,077-933-8283,080-2337- 746,ドコモ,ぶっかけ・せき止め派
足立 慶太,あだち けいた,adachi_keita@example.com,男,55,1964/6/13,既婚,A型,神奈川県,14,080-575-7372,080-7148-4211,au,左ルー・せき止め派
清田 寿々花,きよた すずか,kiyota_suzuka@example.com,女,55,1964/2/18,既婚,B型,千葉県,12,068-999-9534,090-8408- 850,ソフトバンク,ぶっかけ・ナン派
吉田 ひとり,よしだ ひとり,yoshida_hitori@example.com,男,46,1973/4/26,既婚,O型,東京都,13,020-418-8683,080-7832-7947,au,別盛り・別口派
福本 みあ,ふくもと みあ,fukumoto_mia@example.com,女,50,1969/3/1,既婚,B型,群馬県,10,097-946-5443,080-1329-1329,ツーカー,左ルー・せき止め派
藤田 ケンイチ,ふじた けんいち,fujita_kenichi@example.com,男,77,1942/2/21,既婚,A型,愛知県,23,059-598- 131,080-4639-2369,ドコモ,左ルー・混ぜ混ぜ派
横川 フミヤ,よこかわ ふみや,yokokawa_fumiya@example.com,男,75,1944/7/17,既婚,O型,千葉県,12,028-600-4022,080-9993-8511,ソフトバンク,左ルー・せき止め派
吉井 早織,よしい さおり,yoshii_saori@example.com,女,67,1952/6/12,既婚,B型,千葉県,12,045-231-3303,080-9350-7572,ソフトバンク,奥ルー・別口派
藤野 玲那,ふじの れな,fujino_rena@example.com,女,50,1969/12/3,既婚,O型,茨城県,08,047-586-7077,080-8921-3722,au,左ルー・混ぜ混ぜ派
森 晴臣,もり はるおみ,mori_haruomi@example.com,男,64,1955/7/19,既婚,A型,北海道,01,071- 56-8443,090-3961-6920,ドコモ,ぶっかけ・混ぜ混ぜ派
仲田 竜也,なかた たつや,nakata_tatsuya@example.com,男,71,1948/4/14,既婚,O型,北海道,01,089-318-1441,080-3191-7173,au,奥ルー・せき止め派
片桐 ヒカル,かたぎり ひかる,katagiri_hikaru@example.com,女,13,2006/12/31,未婚,B型,熊本県,43,082-522-4609,090-3389-6311,au,ぶっかけ・混ぜ混ぜ派
三井 染五郎,みつい そめごろう,mitsui_somegorou@example.com,男,37,1982/6/23,未婚,O型,静岡県,22,025-626-6007,080-4208-2662,au,左ルー・せき止め派
岸田 ケンイチ,きしだ けんいち,kishida_kenichi@example.com,男,21,1998/5/14,未婚,A型,静岡県,22,082-517-3168,080- 155-8257,ソフトバンク,左ルー・せき止め派
吉崎 路子,よしざき みちこ,yoshizaki_michiko@example.com,女,75,1944/4/22,既婚,O型,福岡県,40,023-193-4699,090-3382-7387,ドコモ,右ルー・混ぜ混ぜ派
岡山 かおり,おかやま かおり,okayama_kaori@example.com,女,14,2005/11/12,未婚,A型,福岡県,40,045-288-5108,090-3572- 713,ソフトバンク,ぶっかけ・せき止め派
酒井 早織,さかい さおり,sakai_saori@example.com,女,59,1960/4/17,既婚,O型,東京都,13,024-356-4512,080-2518-1969,ソフトバンク,左ルー・ルー攻め派
窪田 真一,くぼた しんいち,kubota_shinichi@example.com,男,82,1937/2/28,既婚,O型,愛媛県,38,019-177-5046,090-2530-4122,ソフトバンク,左ルー・別口派
浦田 ケンイチ,うらた けんいち,urata_kenichi@example.com,男,51,1968/11/7,既婚,O型,沖縄県,47,040-154-2750,080-4589-4743,ツーカー,ぶっかけ・ルー攻め派
島津 公顕,しまづ きみあき,shimadu_kimiaki@example.com,男,67,1952/7/21,既婚,A型,栃木県,09,019-725-7231,090-5469-6934,ソフトバンク,右ルー・ナン派
松山 亮,まつやま りょう,matsuyama_ryou@example.com,男,72,1947/6/17,既婚,A型,富山県,16,0 8-377-3441,090-6116-2025,au,左ルー・別口派
後藤 寛,ごとう ひろし,gotou_hiroshi@example.com,男,75,1944/12/5,既婚,A型,香川県,37,035-681-7460,080-5627-6311,ドコモ,右ルー・ルー攻め派
柏原 未華子,かしわら みかこ,kashiwara_mikako@example.com,女,47,1972/5/29,既婚,A型,奈良県,29,053-563-9860,080-  16-6751,au,手前ルー・別口派
及川 洋介,おいかわ ようすけ,oikawa_yousuke@example.com,男,19,2000/2/27,未婚,AB型,北海道,01,031- 81-6047,090-6948-9125,au,奥ルー・せき止め派
飯田 法子,いいだ のりこ,iida_noriko@example.com,女,77,1942/7/8,既婚,O型,山梨県,19,054-720-6124,090-4310-4568,ドコモ,左ルー・混ぜ混ぜ派
牧 結子,まき ゆうこ,maki_yuuko@example.com,女,14,2005/6/1,未婚,O型,神奈川県,14,026-974-3061,080-1277-6035,ドコモ,右ルー・せき止め派
花岡 六郎,はなおか ろくろう,hanaoka_rokurou@example.com,男,25,1994/3/24,既婚,B型,愛知県,23,056-983-4599,090-2686-1556,ドコモ,左ルー・別口派
井川 雅彦,いがわ まさひこ,igawa_masahiko@example.com,男,28,1992/1/12,未婚,A型,佐賀県,41,050-315- 152,090-9517-4762,ドコモ,奥ルー・別口派
大森 建,おおもり けん,oomori_ken@example.com,男,49,1970/5/12,既婚,O型,神奈川県,14,0 6-504- 966,090-2288-2266,ドコモ,右ルー・ルー攻め派
脇田 恵梨香,わきた えりか,wakita_erika@example.com,女,56,1963/9/28,既婚,B型,高知県,39,026-972-5252,090-8406-5832,ソフトバンク,別盛り・せき止め派
勝田 光洋,かつだ みつひろ,katsuda_mitsuhiro@example.com,男,24,1995/10/24,既婚,A型,兵庫県,28,078- 98-2885,080-3342-8649,au,左ルー・ルー攻め派
車 まさし,くるま まさし,kuruma_masashi@example.com,男,42,1977/11/21,既婚,B型,三重県,24,049-315-9817,080-5992-2648,ドコモ,手前ルー・ルー攻め派
児島 あさみ,こじま あさみ,kojima_asami@example.com,女,81,1938/3/19,既婚,A型,新潟県,15,083-471-5215,090-1617-5743,ドコモ,左ルー・せき止め派
藤村 守,ふじむら まもる,fujimura_mamoru@example.com,男,23,1996/11/23,未婚,A型,埼玉県,11,032-522- 390,080-3251-9755,ソフトバンク,ぶっかけ・ナン派
本間 七世,ほんま ななせ,honnma_nanase@example.com,女,81,1939/2/8,既婚,O型,千葉県,12,0 8- 30-7077,090-8982- 291,au,左ルー・別口派
中野 輝信,なかの あきのぶ,nakano_akinobu@example.com,男,44,1975/7/9,既婚,O型,宮崎県,45,052-667-3280,090-2237-5488,au,右ルー・せき止め派
川中 裕司,かわなか ゆうじ,kawanaka_yuuji@example.com,男,19,2000/11/29,未婚,B型,長野県,20,084-453-3365,080-9511-3266,ドコモ,手前ルー・ルー攻め派
高島 浩太郎,たかしま こうたろう,takashima_koutarou@example.com,男,33,1986/6/14,未婚,A型,千葉県,12,025-457-9700,080-3534-7508,ドコモ,左ルー・別口派
豊原 たまき,とよはら たまき,toyohara_tamaki@example.com,女,27,1993/2/2,既婚,A型,広島県,34,094-301-6760,090-6150-6342,ドコモ,ぶっかけ・せき止め派
佐々木 愛菜,ささき あいな,sasaki_aina@example.com,女,48,1971/7/14,既婚,O型,埼玉県,11,098-507-1295,090-5159- 431,ドコモ,左ルー・せき止め派
小日向 あき,こひなた あき,kohinata_aki@example.com,女,76,1943/8/23,既婚,A型,神奈川県,14,065-723-5174,090-5431-9381,ソフトバンク,ぶっかけ・せき止め派
村中 佑,むらなか たすく,muranaka_tasuku@example.com,男,50,1970/2/2,既婚,B型,兵庫県,28,013-130-5635,090-7667-4407,ソフトバンク,奥ルー・せき止め派
金井 研二,かない けんじ,kanai_kenji1@example.com,男,81,1939/2/10,既婚,B型,神奈川県,14,079-351-9460,090-8300-4897,au,右ルー・ナン派
市川 あき,いちかわ あき,ichikawa_aki@example.com,女,12,2007/6/5,未婚,O型,大阪府,27,075-356-9805,080-1515- 958,ドコモ,右ルー・せき止め派
松下 桃子,まつした ももこ,matsushita_momoko@example.com,女,39,1980/4/1,既婚,B型,北海道,01,043-739-6488,090-8794-8473,ドコモ,左ルー・ルー攻め派
守屋 那奈,もりや なな,moriya_nana@example.com,女,15,2004/6/25,未婚,AB型,福岡県,40,052-999-3201,090-5035-9911,au,左ルー・ルー攻め派
尾形 優,おがた ゆう,ogata_yuu@example.com,女,57,1962/6/8,既婚,O型,北海道,01,062-146-3743,080-7134-2050,ドコモ,ぶっかけ・せき止め派
田畑 照生,たばた てるお,tabata_teruo@example.com,男,11,2008/7/31,未婚,B型,長野県,20,036-630-2828,080-3553-7347,ドコモ,右ルー・ナン派
石塚 莉沙,いしづか りさ,ishiduka_risa@example.com,女,56,1963/11/2,既婚,AB型,長野県,20,043-212-8220,080-8967-8996,ドコモ,別盛り・せき止め派
玉置 勇一,たまき ゆういち,tamaki_yuuichi@example.com,男,81,1938/11/8,既婚,A型,福岡県,40,0 6-252-4673,080-7891-9321,au,右ルー・せき止め派
大和田 寿々花,おおわだ すずか,oowada_suzuka@example.com,女,66,1954/1/27,既婚,B型,宮城県,04,055-850-7683,080-7788-9388,ドコモ,ぶっかけ・せき止め派
寺井 麻緒,てらい まお,terai_mao@example.com,女,71,1948/10/29,既婚,B型,神奈川県,14,072-538-5719,090-6769- 387,ドコモ,奥ルー・ナン派
ほしの 明,ほしの あきら,hoshino_akira@example.com,男,31,1988/4/7,既婚,B型,栃木県,09,078-139-5095,090-1086-9402,ドコモ,右ルー・混ぜ混ぜ派
脇田 竜也,わきた たつや,wakita_tatsuya@example.com,男,45,1974/8/8,既婚,A型,三重県,24,041-921-6436,090-5377-7521,ドコモ,奥ルー・ルー攻め派
橋爪 彩,はしづめ あや,hashidume_aya1@example.com,女,51,1968/8/13,既婚,O型,東京都,13,053-207-1611,090-7105- 696,au,左ルー・混ぜ混ぜ派
井手 薫,いで かおる,ide_kaoru@example.com,女,27,1992/4/19,既婚,A型,東京都,13,060-542- 156,090-1095- 956,ドコモ,奥ルー・混ぜ混ぜ派
西脇 まさみ,にしわき まさみ,nishiwaki_masami@example.com,女,26,1994/1/27,既婚,A型,東京都,13,056-170-2479,090-8765-9406,ドコモ,別盛り・混ぜ混ぜ派
上山 勤,かみやま つとむ,kamiyama_tsutomu@example.com,男,74,1945/4/28,既婚,O型,茨城県,08,041-790-9365,090-8197- 667,au,左ルー・別口派
古田 ノブヒコ,ふるた のぶひこ,furuta_nobuhiko@example.com,男,52,1968/1/16,既婚,O型,愛媛県,38,026-930-1755,090-1073-5871,au,手前ルー・せき止め派
近藤 芳正,こんどう よしまさ,kondou_yoshimasa@example.com,男,51,1968/12/26,既婚,A型,山口県,35,051-358- 205,090-1131-2840,ドコモ,左ルー・せき止め派
榎本 あい,えのもと あい,enomoto_ai@example.com,女,58,1961/12/1,既婚,O型,新潟県,15,060-982-1045,080-6777- 843,ドコモ,ぶっかけ・混ぜ混ぜ派
武 正義,たけ まさよし,take_masayoshi@example.com,男,27,1992/9/23,未婚,B型,神奈川県,14,074- 59-2102,090-9771-2130,au,左ルー・ルー攻め派
池畑 圭,いけはた けい,ikehata_kei@example.com,男,69,1950/5/19,既婚,B型,岐阜県,21,095-793-6458,090- 844-1200,au,ぶっかけ・混ぜ混ぜ派
澤田 寛,さわだ ひろし,sawada_hiroshi@example.com,男,58,1962/1/24,既婚,O型,高知県,39,052-601-6194,090- 413-6266,ドコモ,奥ルー・別口派
田口 花,たぐち はな,taguchi_hana@example.com,女,25,1994/3/27,既婚,B型,大阪府,27,0 6-388- 465,080-4869-3116,ドコモ,別盛り・ナン派
吉田 隆太,よしだ りゅうた,yoshida_ryuuta@example.com,男,66,1953/11/10,既婚,A型,愛知県,23,060-388-7822,080-9054-7045,ドコモ,ぶっかけ・ルー攻め派
青山 直人,あおやま なおと,aoyama_naoto@example.com,男,78,1941/5/5,既婚,A型,北海道,01,037-555-6983,090-8754-9793,ドコモ,ぶっかけ・別口派
木本 充則,きもと みつのり,kimoto_mitsunori@example.com,男,26,1993/5/9,未婚,O型,東京都,13,029-594-3885,080-3501-7817,ドコモ,ぶっかけ・せき止め派
青山 聡,あおやま さとし,aoyama_satoshi@example.com,男,11,2008/3/20,未婚,A型,千葉県,12,093-263-3212,090-4176-5191,ドコモ,ぶっかけ・せき止め派
柳川 妃里,やながわ ゆり,yanagawa_yuri@example.com,女,61,1958/4/21,既婚,A型,群馬県,10,076-278-5141,090-8247-5261,ドコモ,左ルー・せき止め派
寺尾 ヒロ,てらお ひろ,terao_hiro@example.com,男,56,1963/8/25,既婚,A型,群馬県,10,0 6-619-2765,090-4542-2951,au,右ルー・せき止め派
松尾 陽子,まつお ようこ,matsuo_youko@example.com,女,49,1970/3/24,既婚,B型,滋賀県,25,018-239-8521,080-2410-8866,ソフトバンク,奥ルー・ルー攻め派
秋田 俊二,あきた しゅんじ,akita_shunji@example.com,男,29,1990/9/22,未婚,A型,福岡県,40,0 3-874-2219,080-3140-1594,ドコモ,左ルー・せき止め派
水谷 礼子,みずたに れいこ,mizutani_reiko@example.com,女,22,1997/12/14,既婚,A型,東京都,13,043-145-8585,080-8493-3617,ツーカー,手前ルー・せき止め派
上村 結衣,うえむら ゆい,uemura_yui@example.com,女,42,1977/11/9,既婚,B型,岩手県,03,016-393-5732,080-3700-4161,ソフトバンク,奥ルー・別口派
村瀬 彩,むらせ あや,murase_aya@example.com,女,69,1950/3/30,既婚,A型,富山県,16,0 4-305- 919,080-7834-8725,ドコモ,左ルー・混ぜ混ぜ派
川井 明日,かわい めいび,kawai_meibi@example.com,女,30,1989/9/6,既婚,A型,長野県,20,010-314-4030,090-3261-5357,ソフトバンク,左ルー・混ぜ混ぜ派
米谷 莉緒,よねや りお,yoneya_rio1@example.com,女,65,1954/8/9,既婚,B型,静岡県,22,064-715-1878,080- 173-4176,ドコモ,左ルー・せき止め派
江崎 一樹,えざき かずき,ezaki_kazuki@example.com,男,48,1971/11/28,既婚,O型,埼玉県,11,066-216-8783,080-1793-9026,ソフトバンク,左ルー・別口派
井田 光良,いだ てるよし,ida_teruyoshi@example.com,男,10,2009/12/22,未婚,O型,埼玉県,11,022-344-9286,090-3039-2037,au,ぶっかけ・ナン派
松野 淳子,まつの あつこ,matsuno_atsuko@example.com,女,12,2007/9/4,未婚,O型,栃木県,09,038-856-5658,090- 848-8992,ドコモ,手前ルー・混ぜ混ぜ派
川口 雅彦,かわぐち まさひこ,kawaguchi_masahiko@example.com,男,76,1943/3/1,既婚,A型,京都府,26,015-913-1931,090-5083-7564,au,ぶっかけ・ルー攻め派
根岸 かおり,ねぎし かおり,negishi_kaori@example.com,女,65,1955/1/21,既婚,O型,神奈川県,14,034-306- 717,090- 885-1047,au,奥ルー・別口派
曽根 慢太郎,そね まんたろう,sone_mantarou@example.com,男,26,1994/1/21,未婚,B型,山口県,35,088- 42- 255,090-9268-8501,ドコモ,ぶっかけ・せき止め派
笠原 未來,かさはら みらい,kasahara_mirai@example.com,女,14,2005/7/10,未婚,O型,奈良県,29,060-717-5115,090-8602-2044,ドコモ,ぶっかけ・せき止め派
深井 めぐみ,ふかい めぐみ,fukai_megumi@example.com,女,73,1946/3/12,既婚,O型,東京都,13,051-560-3951,080-2784-7971,ドコモ,別盛り・混ぜ混ぜ派
滝川 博明,たきがわ ひろあき,takigawa_hiroaki@example.com,男,24,1995/11/12,未婚,A型,東京都,13,035-156-9144,080-3173-9428,ドコモ,ぶっかけ・せき止め派
三好 奈々,みよし なな,miyoshi_nana@example.com,女,18,2001/5/17,未婚,B型,神奈川県,14,013-961-4496,090-6136-9947,au,左ルー・ルー攻め派
内村 丈雄,うちむら たけお,uchimura_takeo@example.com,男,72,1947/6/23,既婚,A型,千葉県,12,019-808-4973,090-6352-3664,ドコモ,左ルー・混ぜ混ぜ派
関谷 マサカズ,せきや まさかず,sekiya_masakazu@example.com,男,41,1978/7/30,既婚,A型,高知県,39,024-996-  49,080-6493-4870,au,ぶっかけ・せき止め派
角田 有起哉,かどた ゆきや,kadota_yukiya@example.com,男,54,1965/9/10,既婚,AB型,熊本県,43,031-908-6795,090-6870-8081,au,ぶっかけ・ルー攻め派
中谷 瞬,なかたに しゅん,nakatani_shun@example.com,女,36,1983/6/2,既婚,AB型,東京都,13,024- 41- 951,090-1678-7751,ドコモ,左ルー・ルー攻め派
高岡 芽以,たかおか めい,takaoka_mei@example.com,女,40,1979/3/16,既婚,A型,愛知県,23,069-200-6000,090-9561-2838,ドコモ,左ルー・別口派
岩崎 直人,いわさき なおと,iwasaki_naoto@example.com,男,36,1983/9/19,既婚,O型,福岡県,40,018-166-9178,080-7601-3283,au,手前ルー・せき止め派
中島 米蔵,なかしま よねぞう,nakashima_yonezou@example.com,男,19,2000/3/20,未婚,O型,岐阜県,21,095-379-7058,090-5602-7170,ソフトバンク,ぶっかけ・混ぜ混ぜ派
田口 芽以,たぐち めい,taguchi_mei@example.com,女,46,1973/8/19,既婚,A型,大阪府,27,066-207-3140,080-2349-7139,ドコモ,左ルー・ナン派
小川 まひる,おがわ まひる,ogawa_mahiru@example.com,女,64,1955/3/19,既婚,B型,大阪府,27,0 7-537-5352,090-4890- 851,ソフトバンク,ぶっかけ・ルー攻め派
益田 美里,ますだ みり,masuda_miri@example.com,女,25,1994/8/9,既婚,A型,長野県,20,096-626-4315,080-6237-9747,ドコモ,右ルー・ルー攻め派
大矢 美希,おおや みき,ooya_miki1@example.com,女,44,1975/5/10,既婚,B型,東京都,13,046-111-5642,080-3469-9836,ソフトバンク,左ルー・混ぜ混ぜ派
小出 ひかり,こいで ひかり,koide_hikari@example.com,女,54,1965/10/2,既婚,B型,岩手県,03,019-900-6411,080-9081-3354,au,左ルー・ルー攻め派
金山 禄郎,かなやま ろくろう,kanayama_rokurou@example.com,男,21,1998/11/15,既婚,O型,北海道,01,095-295-5717,090-6608-7518,ドコモ,左ルー・混ぜ混ぜ派
大路 由宇,おおじ ゆう,ooji_yuu@example.com,女,43,1976/2/24,既婚,A型,京都府,26,067-648- 557,090-6193-1219,au,右ルー・混ぜ混ぜ派
北野 広司,きたの こうじ,kitano_kouji@example.com,男,24,1995/12/29,未婚,O型,神奈川県,14,0 9-369-5447,090-7873-7393,au,ぶっかけ・せき止め派
片岡 桃子,かたおか ももこ,kataoka_momoko@example.com,女,82,1938/1/14,既婚,B型,岡山県,33,0 8-300-5458,080-7179-4197,ソフトバンク,右ルー・混ぜ混ぜ派
小野 沙知絵,おの さちえ,ono_sachie@example.com,女,23,1996/2/24,未婚,O型,神奈川県,14,081-356-8729,080-5301-8289,ドコモ,奥ルー・せき止め派
水谷 ケンイチ,みずたに けんいち,mizutani_kenichi@example.com,男,85,1934/3/2,既婚,AB型,新潟県,15,093- 24-2065,090- 238-3361,ソフトバンク,ぶっかけ・混ぜ混ぜ派
三宅 七世,みやけ ななせ,miyake_nanase@example.com,女,37,1982/5/15,既婚,B型,千葉県,12,051-545-6787,080-3601-9012,ドコモ,左ルー・ルー攻め派
井原 理紗,いはら りさ,ihara_risa@example.com,女,22,1998/2/5,未婚,A型,兵庫県,28,048-465-2628,090-3946-9702,ドコモ,ぶっかけ・せき止め派
三島 フミヤ,みしま ふみや,mishima_fumiya@example.com,男,75,1944/10/2,既婚,A型,静岡県,22,046-626-6694,080-9923-6256,ソフトバンク,左ルー・混ぜ混ぜ派
栗田 正敏,くりた まさとし,kurita_masatoshi@example.com,男,18,2001/9/12,未婚,O型,千葉県,12,0 3-945-6499,080-9635-8249,ドコモ,右ルー・混ぜ混ぜ派
山口 将也,やまぐち まさや,yamaguchi_masaya@example.com,男,64,1955/6/4,既婚,B型,宮城県,04,071-669-9942,090-8010-4848,ドコモ,左ルー・混ぜ混ぜ派
難波 恵美,なんば めぐみ,nannba_megumi@example.com,女,77,1942/7/10,既婚,B型,東京都,13,095-265-3822,080-1921- 659,au,手前ルー・せき止め派
